name,platform,year_of_release
Kung Fu,NES,1985
Soccer,NES,1985
Ice Climber,NES,1985
Gyromite,NES,1985
Tag Team Match M.U.S.C.L.E.,NES,1985
Bomberman,NES,1985
1942,NES,1985
Balloon Fight,NES,1985
Wrecking Crew,NES,1985
Ghostbusters,2600,1985
Dig Dug,NES,1985
Alter Ego,PC,1985
Strongest Tokyo University Shogi DS,DS,1985
Duck Hunt,NES,1985
Excitebike,NES,1985
Golf,NES,1985
Baseball,NES,1985
Tennis,NES,1985
Pinball,NES,1985
Hogan's Alley,NES,1985
Clu Clu Land,NES,1985
The Legend of Zelda,NES,1986
World Class Track Meet,NES,1986
Metroid,NES,1986
Super Mario Bros.: The Lost Levels,NES,1986
Dragon Warrior,NES,1986
Pro Yakyuu Family Stadium,NES,1986
Rad Racer,NES,1986
Kid Icarus,NES,1986
Ghosts n Goblins,NES,1986
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986
Gradius,NES,1986
Castlevania,NES,1986
TwinBee,NES,1986
Ganbare Goemon! Karakuri Douchuu,NES,1986
Doraemon,NES,1986
Commando,NES,1986
Adventure Island,NES,1986
Star Soldier,NES,1986
The Mysterious Murasame Castle,NES,1986
Solaris,2600,1986
RealSports Boxing,2600,1986
Super Mario Bros. 2 (FDS),NES,1986
Mario Bros.,NES,1986
Ghosts 'n Goblins,NES,1986
Donkey Kong,NES,1986
Donkey Kong Jr.,NES,1986
Popeye,NES,1986
Tag Team Match M.U.S.C.L.E.,NES,1986
1942,NES,1986
Balloon Fight,NES,1986
Nazo no Murasame-Jou (FDS),NES,1986
Alter Ego,PC,1986
Zelda II: The Adventure of Link,NES,1987
Mike Tysons Punch-Out!!,NES,1987
Dragon Warrior II,NES,1987
Pro Wrestling,NES,1987
Volleyball,NES,1987
Pro Yakyuu Family Stadium 87,NES,1987
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987
Castlevania II: Simons Quest,NES,1987
Final Fantasy,NES,1987
Mega Man,NES,1987
Kung-Fu Master,2600,1987
Commando,2600,1987
Defender II,2600,1987
Desert Falcon,2600,1987
Super Football,2600,1987
Super Baseball,2600,1987
The Legend of Zelda,NES,1987
World Class Track Meet,NES,1987
Mike Tyson's Punch-Out!!,NES,1987
Metroid,NES,1987
Rad Racer,NES,1987
Soccer,NES,1987
Kid Icarus,NES,1987
Castlevania,NES,1987
Lode Runner,NES,1987
RealSports Boxing,2600,1987
Super Mario Bros. 3,NES,1988
Super Mario Bros. 2,NES,1988
Tetris,NES,1988
Dragon Warrior III,NES,1988
Ice Hockey,NES,1988
R.C. Pro-Am,NES,1988
Donkey Kong Classics,NES,1988
Mega Man 2,NES,1988
Disney's DuckTales,G,1988
Dragon Ball: Daimaou Fukkatsu,NES,1988
Pro Yakyuu Family Stadium 88,NES,1988
Final Fantasy II,NES,1988
River Raid II,2600,1988
Rampage,2600,1988
SimCity,PC,1988
Zelda II: The Adventure of Link,NES,1988
R.B.I. Baseball,NES,1988
Adventure Island,NES,1988
Gauntlet,PC,1988
Star Soldier,NES,1988
Castlevania II: Simon's Quest,NES,1988
Commando,2600,1988
Defender II,2600,1988
Super Football,2600,1988
Super Baseball,2600,1988
Tetris,G,1989
Super Mario Land,G,1989
Dr. Mario,G,1989
Teenage Mutant Ninja Turtles,NES,1989
Golf,G,1989
Tennis,G,1989
Alleyway,G,1989
Disney's DuckTales,NES,1989
